Summary,Issue Type,Priority,Epic Link,Original Estimate,Labels,Components,Description,Depends On
XSD-til-TypeScript types-generator,Task,Medium,Tinglysning S2S XML API Integration,6h,"s2s,etl,tooling","Tinglysning,Backend","Script scripts/gen-etl-types.mjs der parser XSD og emitter types.generated.ts. CI-check for drift. Documented i app/lib/etl/README.md.",
4 obligatoriske svar-services (callbacks),Task,High,Tinglysning S2S XML API Integration,12h,"s2s,etl,callbacks","Tinglysning,Backend","API routes: /api/etl/svar/{abonnement,brugerformular,fejl,underskriftmappe}. POST modtag signed SOAP, verify Message-ID matching, validate XMLDSig, persist event, ACK 200 OK. IP-whitelist Tinglysning egress på Hetzner-proxy.","Verificering indkommende signatur"
Verificering af indkommende signatur fra Tinglysningsretten,Task,High,Tinglysning S2S XML API Integration,4h,"s2s,etl,security","Tinglysning,Backend","Udvid verifyXmlSignature() stub i xmlSigner.ts. Trust anchor: TINGLYSNING_RESPONSE_TRUST_CERT env-var. Modstandsdygtig mod XML signature wrapping attacks.",
Feature flag ENABLE_S2S_ANMELDER,Task,High,Tinglysning S2S XML API Integration,2h,"s2s,etl,feature-flag","Tinglysning,Backend","Default OFF i alle miljøer. Kun ON i Production efter DBA+ARCHITECT godkendelse. ALDRIG på Preview per ADR 0009. Alle ON/OFF toggles audited.",
AnmeldelseSvar fast ejendom,Task,High,Tinglysning S2S XML API Integration,10h,"s2s,etl,anmelder","Tinglysning,Backend","DokumentAnmeldelseSvar for fast ejendom. Builders+parsers+routes. Multi-step UI flow (separat ticket). Audit fuld request+response+brugerbekræftelse. Test-suite må IKKE køre mod prod uden eksplicit flag.","Søgnings-operationer,Feature flag ENABLE_S2S_ANMELDER"
UI multi-step preview confirm sign submit,Story,High,Tinglysning S2S XML API Integration,12h,"s2s,etl,frontend,anmelder","Tinglysning,Frontend","app/dashboard/anmeldelse/* — 4 trin: preview, confirm (type-out JA OPRET TINGLYSNING), sign, submit + status-poll. WCAG AA: role=dialog, focus-trap, ESC. Steps kan ikke skippes via URL. E2E test.","AnmeldelseSvar fast ejendom"
Udvidet audit-trail tenant.tinglysning_anmeldelse,Task,High,Tinglysning S2S XML API Integration,4h,"s2s,etl,audit,database","Tinglysning,Backend,Database","Migration: tenant.tinglysning_anmeldelse tabel. Schema: bfe_nummer, operation, request_xml, request_hash, message_id, bruger_bekraeftet_kl, status, svar_xml. RLS policy. Retention 10 år (juridisk krav). GDPR-eksport inkluderer denne tabel.","AnmeldelseSvar fast ejendom"
Sæt TINGLYSNING_XML_BASE_URL i Vercel,Task,High,Tinglysning S2S XML API Integration,0.5h,"s2s,etl,config","Tinglysning,DevOps","TINGLYSNING_XML_BASE_URL=https://xml-api.tinglysning.dk i Vercel for BÅDE Production OG Preview. Verificer i deploy-log. Opdater .env.local.example.",
test.bizzassist.dk verifikation mod prod XML API,Task,High,Tinglysning S2S XML API Integration,1h,"s2s,etl,verification","Tinglysning,DevOps","Trigger preview-deploy. Hit /api/etl/ejendom/summarisk fra autentificeret session med reel BFE. Verificer 200 OK med reel prod-data. Tjek audit-log entry.","Sæt TINGLYSNING_XML_BASE_URL,Tests Fase 1"
Guard mod anmelder-flow fra preview,Task,High,Tinglysning S2S XML API Integration,2h,"s2s,etl,security","Tinglysning,Backend,DevOps","Middleware: hvis VERCEL_ENV !== production return 503 fra /api/etl/anmeld/*. Pre-commit hook blokerer ENABLE_S2S_ANMELDER i preview-env. Daily-status cron alerter ved flag-pollution.","Feature flag ENABLE_S2S_ANMELDER"
