Summary,Issue Type,Priority,Original Estimate,Labels,Components,Description,Depends On
"Feature flag ENABLE_S2S_ANMELDER + preview-guard middleware",Task,High,2h,"s2s,tinglysning,anmelder,feature-flag,security","Tinglysning,Backend,DevOps","Create isAnmelderEnabled() in app/lib/featureFlags.ts. Hard rule: NEVER true on preview regardless of env var. Middleware blocks /api/etl/anmeld/* at edge if VERCEL_ENV!=production or flag not true. Pre-commit hook warns if ENABLE_S2S_ANMELDER=true appears in any .env.* file. Daily-status cron alerts on flag-pollution.",
"Verify incoming XML signatures from Tinglysningsretten (callbacks)",Task,High,6h,"s2s,tinglysning,security,crypto","Tinglysning,Backend","Add verifyXmlSignature(xml, trustedCertPem) to s2sClient.ts. Env var TINGLYSNING_RESPONSE_TRUST_CERT (PEM). Document obtain process. Use xml-crypto SignedXml. Reject XSW attack indicators (non-empty Reference URIs). Cert byte-match required. Less than 100ms per verification. Used by all /api/etl/svar/* routes.",Refactor s2sClient
"Migration: tenant.tinglysning_anmeldelse audit table",Task,High,3h,"s2s,tinglysning,anmelder,database,migration","Tinglysning,Database,Backend","Migration creating tenant.tinglysning_anmeldelse table with: tenant_id, user_id, bfe_nummer, operation, request_xml, request_hash, message_id (unique), bruger_bekraeftet_kl, bruger_ip, status, tinglysning_svar_xml, svar_kl, fejlkode, fejlbesked. RLS by tenant. Indexes on tenant+status, message_id, created. Retention: 10 years (legal). GDPR export extended. Update DATA_CLASSIFICATION.md.",
"Callback service: AbonnementSvar",Task,High,3h,"s2s,tinglysning,anmelder,callbacks","Tinglysning,Backend","POST /api/etl/svar/abonnement. Verify signature FIRST. Parse AbonnementSvar XML extract objektUuid+aendringType+aendringTid+kundereference. Persist to tenant.foelg_ejendom_event. Respond 200 OK empty body. 500 on error (Tinglysning retries). Idempotent via UNIQUE message_id. IP whitelist Tinglysning egress.",Verify incoming signatures
"Callback service: BrugerformularSvar",Task,High,3h,"s2s,tinglysning,anmelder,callbacks","Tinglysning,Backend","POST /api/etl/svar/brugerformular. Same pattern as Abonnement callback. Persist form data to tenant.tinglysning_brugerformular table.","Verify incoming signatures,Anmeldelse audit table"
"Callback service: FejlService",Task,High,2h,"s2s,tinglysning,anmelder,callbacks","Tinglysning,Backend","POST /api/etl/svar/fejl. Updates tenant.tinglysning_anmeldelse.status=fejl for matching message_id. Notifies tenant-admin who triggered the request (in-app + Resend email).","Verify incoming signatures,Anmeldelse audit table"
"Callback service: UnderskriftmappeSvar",Task,High,3h,"s2s,tinglysning,anmelder,callbacks","Tinglysning,Backend","POST /api/etl/svar/underskriftmappe. Notifies user (in-app + email). Updates anmeldelse status.","Verify incoming signatures,Anmeldelse audit table"
"DokumentAnmeldelseSvar for fast ejendom (high-risk)",Task,High,10h,"s2s,tinglysning,anmelder","Tinglysning,Backend","Create app/lib/tinglysningAnmeldelse.ts + /api/etl/anmeld/fast-ejendom/route.ts. sendAnmeldelse(input) validates feature flag + exact confirm text JA OPRET TINGLYSNING + anmelder role. Logs to tenant.tinglysning_anmeldelse BEFORE send. Rate limit 5/hour/tenant. Errors return 'Ekstern API fejl' to client. Initial scope: SKOEDE, EJERPANT, SERVITUT, PAATEGNING only.","Refactor s2sClient,Feature flag,Verify signatures,Audit table"
"UI: Multi-step preview-confirm-sign-submit anmeldelse flow",Story,High,12h,"s2s,tinglysning,anmelder,frontend,ui","Tinglysning,Frontend","app/dashboard/anmeldelse/[bfe]/* 4 pages: entry (pick type+upload), preview (summary+gebyrer), confirm (must type JA OPRET TINGLYSNING exactly + checkbox), submit (loading + redirect), status (polls every 5s for callbacks). Steps obligatoriske — direct URL access redirects. WCAG AA: role=dialog, focus-trap, ESC, keyboard a11y. Dark theme. Bilingual DA+EN. E2E test happy + failure paths. Mobile-ready.",Anmeldelse fast ejendom
"Migrate existing /api/tinglysning/* routes from REST to XML S2S",Story,Medium,8h,"s2s,tinglysning,migration","Tinglysning,Backend","Migrate 10 routes from tlFetch (REST) to XML S2S helpers gradually. Per route: env flag XX_USE_XML, XML-first with REST fallback, A/B compare logging. After 2 weeks stable: flip default ON. After 4 weeks: remove REST fallback. Affected: /, aendringer, dokument, paategning, praesentation, summarisk, virksomhed (andels/bil/personbog out of scope).","All forespoerger ops done"
"Test infrastructure for S2S (fixtures + integration tests)",Task,High,4h,"s2s,tinglysning,tests,infrastructure","Tinglysning,Backend","__tests__/fixtures/etl/ for recorded anonymized XML responses. __tests__/integration/s2s-roundtrip.test.ts runs against prod (read-only) when RUN_S2S_INTEGRATION=true. scripts/record-etl-fixture.mjs records+anonymizes. Mock S2S in unit tests by default. Fixtures for all 8 forespoerger ops. Coverage on app/lib/tinglysning*.ts 80%+.",Refactor s2sClient
